ID,prediction,LoGoFunc_Neutral,LoGoFunc_GOF,LoGoFunc_LOF
25546,Neutral,0.337065146079504,0.33003760876775873,0.3328972451527372
25547,Neutral,0.3367067095242344,0.33062214237473975,0.3326711481010259
25548,Neutral,0.33508311675010255,0.33222519046592913,0.33269169278396826
25549,Neutral,0.33452647068742825,0.3324053421097669,0.33306818720280484
25550,Neutral,0.3348003323319282,0.3322195849771682,0.3329800826909037
25551,Neutral,0.3348003323319282,0.3322195849771682,0.3329800826909037
25552,Neutral,0.3344422250706483,0.332805914162174,0.33275186076717783
25553,Neutral,0.3384146404245931,0.3291104894020464,0.3324748701733604
25554,Neutral,0.33452647068742825,0.3324053421097669,0.33306818720280484
25555,Neutral,0.33452647068742825,0.3324053421097669,0.33306818720280484
25556,Neutral,0.33452647068742825,0.3324053421097669,0.33306818720280484
25557,Neutral,0.33452647068742825,0.3324053421097669,0.33306818720280484
25558,Neutral,0.33452647068742825,0.3324053421097669,0.33306818720280484
25559,GOF,0.33316622334211254,0.3337041562164507,0.3331296204414367
25560,Neutral,0.33611254102700383,0.32792898086870553,0.33595847810429064
25561,LOF,0.3347250336410605,0.3303410422168621,0.33493392414207734
25562,LOF,0.3333799002184843,0.3285749182882884,0.3380451814932273
25563,LOF,0.3306380652243648,0.3301231441830088,0.33923879059262646
25564,LOF,0.33503488771809997,0.32705507560401803,0.33791003667788205
25565,LOF,0.3302928617075142,0.3336812780386769,0.33602586025380893
25566,GOF,0.3311252801722817,0.3361394952880306,0.3327352245396877
25567,LOF,0.3327451058021988,0.3307768631913962,0.336478031006405
25568,LOF,0.33339963320970073,0.32968023393434515,0.33692013285595407
25569,LOF,0.33193548902428355,0.3317522608008404,0.336312250174876
25570,LOF,0.3314101170750586,0.33159166513302446,0.336998217791917
25571,LOF,0.3314101170750586,0.33159166513302446,0.336998217791917
25572,LOF,0.33048917719875115,0.3333455178848805,0.3361653049163683
25573,LOF,0.3282972593367649,0.33564331873517933,0.3360594219280557
25574,GOF,0.3262103387905323,0.3380257210806768,0.33576394012879085
25575,LOF,0.3314310276941426,0.33221465536520606,0.3363543169406514
25576,LOF,0.32833784892921736,0.3352595119661131,0.3364026391046696
25577,LOF,0.32910335365875887,0.33387315945925805,0.3370234868819831
25578,LOF,0.33407072501120333,0.33124531737671736,0.3346839576120794
25579,LOF,0.33407072501120333,0.33124531737671736,0.3346839576120794
25580,LOF,0.33210141664969595,0.33079602364435734,0.33710255970594666
25581,LOF,0.3304672441813072,0.333051650002073,0.3364811058166198
25582,LOF,0.3304672441813072,0.333051650002073,0.3364811058166198
25583,LOF,0.3316330415666846,0.3312319645162792,0.3371349939170363
25584,Neutral,0.33477256235628666,0.33280935477650647,0.3324180828672069
25585,LOF,0.3283847550062816,0.3343007648616886,0.33731448013202986
25586,LOF,0.3316330415666846,0.3312319645162792,0.3371349939170363
25587,LOF,0.3316330415666846,0.3312319645162792,0.3371349939170363
25588,LOF,0.3316330415666846,0.3312319645162792,0.3371349939170363
25589,GOF,0.331056217834916,0.33733428951816896,0.331609492646915
25590,LOF,0.3315444787950886,0.3323939561116296,0.3360615650932818
25591,LOF,0.332405060833848,0.33089536642215917,0.33669957274399287
25592,LOF,0.33216743419352274,0.33241837180009426,0.33541419400638306
25593,GOF,0.33013703133613914,0.3363212083647284,0.3335417602991325
25594,LOF,0.330245261342681,0.3323232116100869,0.3374315270472321
25595,LOF,0.33159661616052233,0.33113532798004364,0.337268055859434
25596,Neutral,0.3356647017336209,0.32884198038071466,0.33549331788566455
25597,LOF,0.33557278622535164,0.32785349796773455,0.3365737158069138
25598,LOF,0.3320594583944381,0.3308828062749533,0.3370577353306086
25599,LOF,0.32955648658146103,0.334304140517977,0.33613937290056195
25600,LOF,0.331977611895432,0.3328705167397305,0.3351518713648375
25601,LOF,0.3296580499974982,0.3351371248941223,0.33520482510837946
25602,LOF,0.33141301430894654,0.3315458828857856,0.33704110280526783
25603,LOF,0.33300188424695265,0.33021923055718,0.33677888519586735
25604,LOF,0.335641802921106,0.32858335823803814,0.33577483884085585
25605,LOF,0.33140687177806466,0.3326683164997585,0.33592481172217686
25606,Neutral,0.3354211672775471,0.3314666348875134,0.3331121978349395
25607,LOF,0.3296863882090981,0.3329302137936402,0.3373833979972617
25608,LOF,0.3316100456731265,0.33324177612244854,0.33514817820442505
25609,GOF,0.33200304900085725,0.33475393982686813,0.33324301117227473
25610,LOF,0.33100573067472194,0.33014506234623986,0.3388492069790383
25611,LOF,0.33078370885476277,0.33050406322919934,0.33871222791603794
25612,LOF,0.33012623912842076,0.33094247524437737,0.3389312856272019
25613,LOF,0.3300451555540334,0.3313433464252694,0.3386114980206971
25614,LOF,0.3313605029390194,0.3301090627517119,0.33853043430926866
25615,LOF,0.33309194154718663,0.3296170447309529,0.3372910137218605
25616,LOF,0.33220663612623363,0.3293193656504974,0.3384739982232689
25617,LOF,0.33220663612623363,0.3293193656504974,0.3384739982232689
25618,LOF,0.3321920432838008,0.33032251719239597,0.3374854395238033
25619,LOF,0.33100573067472194,0.33014506234623986,0.3388492069790383
25620,LOF,0.3319843239381692,0.32967798022750533,0.33833769583432555
25621,LOF,0.3348733678570309,0.3274628690058467,0.3376637631371223
25622,LOF,0.33419645283910676,0.3284628903057678,0.33734065685512543
