ID,prediction,LoGoFunc_Neutral,LoGoFunc_GOF,LoGoFunc_LOF
25546,Neutral,0.667193219399851,0.05445909090392874,0.27834768969622026
25547,Neutral,0.5092518493288194,0.0955703920160672,0.39517775865511345
25548,Neutral,0.5049346636328009,0.07675841925628347,0.4183069171109155
25549,LOF,0.43052142716469377,0.07848863735377863,0.49098993548152764
25550,LOF,0.3609066611639596,0.11529189756981034,0.5238014412662301
25551,LOF,0.3216173799399451,0.12631802563553235,0.5520645944245225
25552,LOF,0.2555854520494756,0.11992417852982305,0.6244903694207014
25553,Neutral,0.8166265755435608,0.04200615807384631,0.14136726638259287
25554,LOF,0.2938193737592433,0.10796549566978306,0.5982151305709736
25555,LOF,0.24081595626314808,0.10342126088084859,0.6557627828560033
25556,LOF,0.4467516871892699,0.09171840951409449,0.4615299032966357
25557,LOF,0.22963402792975152,0.10734080762973362,0.6630251644405148
25558,LOF,0.2957628641775049,0.10733070868350668,0.5969064271389884
25559,LOF,0.18370449161703847,0.11592841690789116,0.7003670914750705
25560,LOF,0.15733961277236347,0.09634614312462716,0.7463142441030094
25561,LOF,0.15488494830798227,0.12162863002188944,0.7234864216701283
25562,LOF,0.07253170241972504,0.0710653951603519,0.856402902419923
25563,LOF,0.021072224497473414,0.11666361681386157,0.8622641586886651
25564,LOF,0.22342087003605451,0.1130170766919855,0.66356205327196
25565,LOF,0.2250005968679604,0.14636335977507137,0.6286360433569682
25566,GOF,0.10278522125148114,0.6732209985160448,0.22399378023247407
25567,LOF,0.03568268677635368,0.12778730552899786,0.8365300076946485
25568,LOF,0.062197319878054345,0.06286804232506726,0.8749346377968784
25569,LOF,0.06498606822514096,0.06376376115447044,0.8712501706203886
25570,LOF,0.025455635813044702,0.09536869152466555,0.8791756726622897
25571,LOF,0.025475464156225397,0.09685783496546292,0.8776667008783117
25572,LOF,0.06207322587172576,0.12286967868853442,0.8150570954397397
25573,LOF,0.056794360285085645,0.0852439418455177,0.8579616978693966
25574,LOF,0.05813504182544141,0.17237443387796733,0.7694905242965913
25575,LOF,0.02217117469293616,0.11380863326057505,0.8640201920464887
25576,LOF,0.0345788348008324,0.15972605250818356,0.805695112690984
25577,LOF,0.030743887061547133,0.1113666807820554,0.8578894321563975
25578,LOF,0.29050243520436037,0.07077497495512135,0.6387225898405183
25579,LOF,0.14131754027711163,0.07494387660768577,0.7837385831152025
25580,LOF,0.017827297596216124,0.07392374961023832,0.9082489527935457
25581,LOF,0.058577379979553264,0.061727319835105446,0.8796953001853413
25582,LOF,0.058647775975460156,0.06028914683293435,0.8810630771916055
25583,LOF,0.019010848379642002,0.07444944602440991,0.906539705595948
25584,Neutral,0.6602862531035472,0.10854349724502264,0.2311702496514301
25585,LOF,0.03496723064960908,0.1294051303023035,0.8356276390480875
25586,LOF,0.017175225622987744,0.06673819458896643,0.9160865797880459
25587,LOF,0.01644208753348538,0.05676306707635461,0.92679484539016
25588,LOF,0.019145511787653686,0.0664057849195487,0.9144487032927977
25589,Neutral,0.5037776770943251,0.20269485649165686,0.2935274664140181
25590,LOF,0.047784949541017564,0.10646932744701662,0.8457457230119658
25591,LOF,0.10163920466725566,0.052444063516112534,0.8459167318166319
25592,LOF,0.0516828136983118,0.13078370770178513,0.8175334785999031
25593,LOF,0.14053134700292078,0.2610136394912561,0.598455013505823
25594,LOF,0.04791360354451606,0.10136029483378398,0.8507261016217
25595,LOF,0.04609059963102908,0.07342888118239672,0.8804805191865742
25596,LOF,0.09684344921880558,0.04422021997986059,0.8589363308013338
