feature0,prediction,LoGoFunc_Neutral,LoGoFunc_GOF,LoGoFunc_LOF
25546,Neutral,0.6738724334952617,0.050731412266170964,0.27539615423856734
25547,Neutral,0.5090391087845318,0.09746633518211542,0.3934945560333526
25548,Neutral,0.5200719200143703,0.08106593166366205,0.39886214832196765
25549,LOF,0.4359605714972697,0.08645907710193745,0.47758035140079275
25550,LOF,0.37336624343724945,0.11252307470603279,0.5141106818567178
25551,LOF,0.3096376676832765,0.12647605156512484,0.5638862807515987
25552,LOF,0.23858878488574414,0.12480218330970551,0.6366090318045504
25553,Neutral,0.8211509028321178,0.04023496175658625,0.13861413541129586
25554,LOF,0.29234025733932867,0.11528012518297596,0.5923796174776954
25555,LOF,0.23878202666571524,0.10864479577905688,0.6525731775552278
25556,Neutral,0.46852625621875754,0.09576201325694049,0.43571173052430207
25557,LOF,0.22442470573746623,0.11728008561514186,0.6582952086473919
25558,LOF,0.2953831168458517,0.11677412632958352,0.5878427568245648
25559,LOF,0.21071535289077567,0.15325272372178492,0.6360319233874394
25560,LOF,0.07231752133814413,0.12367013445115732,0.8040123442106984
25561,LOF,0.14283210293820353,0.11149620297260704,0.7456716940891894
25562,LOF,0.059624324609228146,0.07416470223082794,0.8662109731599439
25563,LOF,0.08921481228370755,0.07124711847537114,0.8395380692409213
25564,LOF,0.22402874533980394,0.14439250669365786,0.6315787479665382
25565,LOF,0.17734082720273808,0.13433557603330354,0.6883235967639584
25566,GOF,0.02114259227361403,0.7729944869843808,0.20586292074200518
25567,LOF,0.023733639175163364,0.12165211534992101,0.8546142454749155
25568,LOF,0.0650421828101255,0.06600919932444947,0.8689486178654251
25569,LOF,0.059778524417642274,0.06531374829858032,0.8749077272837775
25570,LOF,0.03011433090218788,0.09124615410283565,0.8786395149949765
25571,LOF,0.029147708899211127,0.09596157997279768,0.8748907111279912
25572,LOF,0.03181503676434332,0.11811786206918704,0.8500671011664696
25573,LOF,0.026623239372414616,0.08622586590866195,0.8871508947189234
25574,LOF,0.01593592760358923,0.16208367211711466,0.8219804002792962
25575,LOF,0.02492683992942783,0.10887194048596825,0.8662012195846039
25576,LOF,0.012614438572752285,0.1409316277818862,0.8464539336453615
25577,LOF,0.011118668614734194,0.10478931770648457,0.8840920136787812
25578,LOF,0.29646928969948544,0.07325726830609085,0.6302734419944238
25579,LOF,0.13531195015811487,0.07847927503363146,0.7862087748082538
25580,LOF,0.0193550846945833,0.06795806996603464,0.9126868453393822
25581,LOF,0.05281898698755156,0.06274711135731574,0.8844339016551328
25582,LOF,0.052700670044966993,0.062038294466378124,0.885261035488655
25583,LOF,0.021418588745199262,0.07272394367825556,0.9058574675765451
25584,Neutral,0.5264098700268816,0.10755839583501117,0.36603173413810725
25585,LOF,0.01318798645107208,0.11770013395509782,0.8691118795938301
25586,LOF,0.019624009481671218,0.06499061721958958,0.9153853732987391
25587,LOF,0.018134131990223384,0.05784376938354513,0.9240220986262315
25588,LOF,0.019232451989213046,0.06786508036989042,0.9129024676408964
25589,Neutral,0.6487027623846838,0.1308408390135466,0.22045639860176955
25590,LOF,0.02189031269178807,0.10863625598826887,0.869473431319943
25591,LOF,0.08430650013985987,0.057730938502357866,0.8579625613577821
25592,LOF,0.057884985734491495,0.11716599931948819,0.8249490149460204
25593,LOF,0.0198940812515344,0.2537944398905125,0.7263114788579532
25594,LOF,0.044791641336007874,0.1205178944607634,0.8346904642032287
25595,LOF,0.04084861296197653,0.08972008455814608,0.8694313024798773
25596,LOF,0.05502490852858242,0.06430411556478685,0.8806709759066308
25597,LOF,0.03838442232474456,0.08065988432174055,0.8809556933535148
25598,LOF,0.04121732536625921,0.09486378980731303,0.8639188848264279
25599,GOF,0.008646076233518044,0.532675719043715,0.45867820472276694
25600,GOF,0.024491426846873988,0.613289903597988,0.36221866955513804
25601,LOF,0.012267623321928475,0.39171240350017494,0.5960199731778966
25602,LOF,0.011684997237093146,0.067204337291576,0.9211106654713308
25603,LOF,0.038803069170490666,0.025854324502845524,0.9353426063266639
25604,LOF,0.015950729273975305,0.06706582874032153,0.9169834419857033
25605,LOF,0.009298218894936792,0.20717344792121647,0.7835283331838466
25606,LOF,0.10684359342421357,0.31907421468142605,0.5740821918943604
25607,LOF,0.006007943935569357,0.21801756203740033,0.7759744940270303
25608,LOF,0.013788290897714764,0.09456489074020362,0.8916468183620817
25609,LOF,0.09953702205423583,0.40738410127439806,0.4930788766713662
25610,LOF,0.019938756629387863,0.02205063124239335,0.9580106121282187
25611,LOF,0.018620491716268027,0.024364785993829362,0.9570147222899027
25612,LOF,0.06187090060129396,0.03370886214701356,0.9044202372516924
25613,LOF,0.059611146820685225,0.03444661095983699,0.9059422422194778
25614,LOF,0.027789590970301488,0.027747498288396018,0.9444629107413025
25615,LOF,0.017096768905994052,0.03645585823604826,0.9464473728579578
25616,LOF,0.053213487258562196,0.02667762636022638,0.9201088863812114
25617,LOF,0.05017410341321904,0.028674810736646104,0.9211510858501349
25618,LOF,0.06661954093442257,0.032918086044796006,0.9004623730207815
25619,LOF,0.018220955812270692,0.029173905130785903,0.9526051390569433
25620,LOF,0.07068009075253803,0.0363616123044888,0.892958296942973
25621,LOF,0.01801570644542094,0.03151124969771061,0.9504730438568686
25622,LOF,0.022437694479955805,0.03943562648566528,0.938126679034379
25623,LOF,0.036622462478185416,0.034466549507761214,0.9289109880140534
25624,LOF,0.023012967796816084,0.03410133218163163,0.9428857000215523
25625,LOF,0.021536450144436548,0.04738759937674771,0.9310759504788158
25626,LOF,0.05716668231696199,0.030889876841268333,0.9119434408417697
25627,Neutral,0.688024188289903,0.07101149880459691,0.24096431290550022
25628,LOF,0.2207190410431124,0.03964133701496019,0.7396396219419274
25629,LOF,0.05275361878035754,0.04461533984851739,0.9026310413711252
25630,LOF,0.1801744086268215,0.07606949326241082,0.7437560981107677
25631,Neutral,0.6702422829438416,0.0464260047429885,0.2833317123131698
25632,LOF,0.007448996165701158,0.06204740755743024,0.9305035962768687
25633,LOF,0.210603191231945,0.03859528600636382,0.7508015227616911
25634,LOF,0.03005437289353397,0.07885276401217176,0.8910928630942944
25635,LOF,0.03821832540449829,0.04114860490702345,0.9206330696884782
25636,GOF,0.006297670254365021,0.5183092827187488,0.47539304702688623
25637,GOF,0.009470695671627966,0.5558335585905373,0.4346957457378348
25638,LOF,0.011326718934958319,0.27896387868202716,0.7097094023830145
25639,LOF,0.006672220589108896,0.42229028235765304,0.571037497053238
25640,Neutral,0.49367989520850303,0.4252801444760433,0.08103996031545371
25641,GOF,0.007914553672098387,0.49707632100506033,0.4950091253228414
25642,LOF,0.22665301843578506,0.11207945240602832,0.6612675291581867
25643,LOF,0.15909667431240646,0.15055360429677836,0.6903497213908153
25644,GOF,0.008561818331476732,0.5120249943307874,0.4794131873377359
25645,LOF,0.007065051071969496,0.4562965727992927,0.5366383761287378
25646,LOF,0.010433910841220272,0.37353798474255046,0.6160281044162292
25647,LOF,0.009069726267229083,0.30623996547020876,0.6846903082625622
25648,LOF,0.008818264621703728,0.301272847579149,0.6899088877991473
25649,LOF,0.007108747964840165,0.25670316332695936,0.7361880887082004
25650,LOF,0.013121533867633607,0.4413146542514509,0.5455638118809156
25651,LOF,0.005460627030392216,0.3179567859233336,0.6765825870462742
25652,LOF,0.008818142557749556,0.3127556951386789,0.6784261623035716
25653,LOF,0.02278271173558912,0.4422217400712165,0.5349955481931944
25654,LOF,0.00918802598592967,0.24679692386779553,0.7440150501462749
25655,LOF,0.03940318781750678,0.4637644932103024,0.496832318972191
25656,LOF,0.20038638720943067,0.0603633429910525,0.7392502697995168
25657,LOF,0.2668896282343442,0.03545171043104365,0.6976586613346122
25658,LOF,0.07807290585549036,0.10273855283055143,0.8191885413139581
25659,LOF,0.43673681323615393,0.07827385330668354,0.48498933345716244
25660,LOF,0.031300934408143334,0.07988505910067178,0.8888140064911848
25661,LOF,0.0994516401921526,0.05608272559370207,0.8444656342141454
25662,LOF,0.033558903350174224,0.03560945340892034,0.9308316432409055
